"Chromosome","Start","End","Gene"
"9",86400052,86400052,"Gene_35374"
"Y",91932310,91932310,"Gene_35375"
"18",222208145,286472517,"Gene_35376"
"6",87961289,290386891,"Gene_35377"
"17",223216797,243674923,"Gene_35378"
"4",205237093,205237093,"Gene_35379"
"10",120307345,262605201,"Gene_35380"
"15",167545256,167545256,"Gene_35381"
"5",168219789,168219789,"Gene_35382"
"17",46909904,83349620,"Gene_35383"
"11",32994543,93725933,"Gene_35384"
"14",289642447,289642447,"Gene_35385"
"13",214372823,235930131,"Gene_35386"
"18",210134859,238546908,"Gene_35387"
"6",115371691,136880299,"Gene_35388"
"15",16658838,233840243,"Gene_35389"
"18",221223287,221223287,"Gene_35390"
"X",165729008,192748393,"Gene_35391"
"8",230710705,230710705,"Gene_35392"
"9",91659177,220075509,"Gene_35393"
"8",290106988,290106988,"Gene_35394"
"Y",243141209,243141209,"Gene_35395"
"5",86986240,262290054,"Gene_35396"
"7",228518290,228518290,"Gene_35397"
"14",188128486,188128486,"Gene_35398"
"10",260757687,260757687,"Gene_35399"
"14",49727713,120665058,"Gene_35400"
"4",79353301,208993853,"Gene_35401"
"15",178740087,178740087,"Gene_35402"
"1",268457740,283497647,"Gene_35403"
"6",91236326,199787469,"Gene_35404"
"2",121024511,219973075,"Gene_35405"
"3",141500912,196779552,"Gene_35406"
"16",46944450,46944450,"Gene_35407"
"16",155108557,196131106,"Gene_35408"
"13",41284220,203344197,"Gene_35409"
"Y",74541053,74541053,"Gene_35410"
"16",206729973,206729973,"Gene_35411"
"10",188910528,188910528,"Gene_35412"
"13",23021691,24318955,"Gene_35413"
"7",248495935,273026270,"Gene_35414"
"13",51109535,241114593,"Gene_35415"
"13",263402030,284117190,"Gene_35416"
"15",175163370,175163370,"Gene_35417"
"15",69151158,80985475,"Gene_35418"
"1",90073347,190874068,"Gene_35419"
"17",182447504,212183481,"Gene_35420"
"Y",250978274,250978274,"Gene_35421"
"17",252533728,252533728,"Gene_35422"
"5",26625093,132116628,"Gene_35423"
"5",69264081,250853519,"Gene_35424"
"16",131956352,145464961,"Gene_35425"
"4",50141250,173102653,"Gene_35426"
"4",251053835,251053835,"Gene_35427"
"13",220136267,266872874,"Gene_35428"
"6",128639108,252069529,"Gene_35429"
"18",143917380,279673711,"Gene_35430"
"5",294595681,294595681,"Gene_35431"
"X",115180941,118270229,"Gene_35432"
"17",106160233,295229139,"Gene_35433"
"10",258445440,258445440,"Gene_35434"
"17",253905537,253905537,"Gene_35435"
"4",152836901,152836901,"Gene_35436"
"15",89244950,216949100,"Gene_35437"
"Y",4283477,131762832,"Gene_35438"
"10",247645876,247645876,"Gene_35439"
"5",184838638,184838638,"Gene_35440"
"13",96960824,232219813,"Gene_35441"
"7",201260977,201260977,"Gene_35442"
"9",118201570,156731876,"Gene_35443"
"15",261255102,261255102,"Gene_35444"
"6",227917807,292522357,"Gene_35445"
"8",153577959,282347335,"Gene_35446"
"7",38745990,287731341,"Gene_35447"
"4",22048602,176366065,"Gene_35448"
"Y",75541472,75541472,"Gene_35449"
"4",246733650,246733650,"Gene_35450"
"1",158686543,158686543,"Gene_35451"
"18",157532462,177568268,"Gene_35452"
"14",102487807,102487807,"Gene_35453"
"16",84860416,84860416,"Gene_35454"
"13",251890920,251890920,"Gene_35455"
"17",89070529,89070529,"Gene_35456"
"11",140470969,140470969,"Gene_35457"
"11",76359280,76359280,"Gene_35458"
"X",22910055,201774411,"Gene_35459"
"12",131626060,295031501,"Gene_35460"
"5",161033089,161033089,"Gene_35461"
"17",164194143,237106065,"Gene_35462"
"5",232734610,257284145,"Gene_35463"
"4",59333532,287975613,"Gene_35464"
"13",202282570,245234206,"Gene_35465"
"3",251625853,251625853,"Gene_35466"
"16",166237034,166237034,"Gene_35467"
"8",51393204,187281085,"Gene_35468"
"Y",36414897,200971487,"Gene_35469"
"11",197125875,252918653,"Gene_35470"
"8",156539519,156539519,"Gene_35471"
"13",113727061,113727061,"Gene_35472"
"18",22643931,186118912,"Gene_35473"
"12",135465636,178841880,"Gene_35474"
"1",108630141,169902072,"Gene_35475"
"1",166413422,166413422,"Gene_35476"
"3",20065589,194568265,"Gene_35477"
"16",284705111,284705111,"Gene_35478"
"14",104298639,266808065,"Gene_35479"
"2",263017518,263017518,"Gene_35480"
"Y",162946997,162946997,"Gene_35481"
"12",112272746,112272746,"Gene_35482"
"3",172179710,172179710,"Gene_35483"
"7",174161356,174161356,"Gene_35484"
"11",188369588,234818924,"Gene_35485"
"4",12390538,135355889,"Gene_35486"
"17",212901065,212901065,"Gene_35487"
"16",251728224,251728224,"Gene_35488"
"1",3220599,178198387,"Gene_35489"
"Y",64066905,84351516,"Gene_35490"
"15",207555342,207555342,"Gene_35491"
"2",123277489,123277489,"Gene_35492"
"3",64277998,286152714,"Gene_35493"
"12",271235633,271235633,"Gene_35494"
"X",250808778,271268466,"Gene_35495"
"3",26904205,132058940,"Gene_35496"
"10",14058316,47119358,"Gene_35497"
"18",116358104,116358104,"Gene_35498"
"13",286469333,286469333,"Gene_35499"
"Y",224530676,224530676,"Gene_35500"
"13",117711679,117711679,"Gene_35501"
"Y",104571323,150830544,"Gene_35502"
"15",91732104,114222089,"Gene_35503"
"14",79806516,238123258,"Gene_35504"
"8",41618251,41618251,"Gene_35505"
"5",40502927,40502927,"Gene_35506"
"1",168197784,168197784,"Gene_35507"
"12",7044495,251263179,"Gene_35508"
"12",258896284,258896284,"Gene_35509"
"17",118274825,287563302,"Gene_35510"
"7",136148265,136148265,"Gene_35511"
"6",289545180,294864308,"Gene_35512"
"15",160967249,160967249,"Gene_35513"
"9",19794518,236294879,"Gene_35514"
"2",100718941,281052129,"Gene_35515"
"6",206681205,206681205,"Gene_35516"
"8",244182346,244182346,"Gene_35517"
"4",167838432,211026602,"Gene_35518"
"Y",131511509,131511509,"Gene_35519"
"Y",103410439,103410439,"Gene_35520"
"9",7862690,27356620,"Gene_35521"
"17",28642587,219896451,"Gene_35522"
"18",281424993,281424993,"Gene_35523"
"4",12650503,65250433,"Gene_35524"
"14",132153692,132153692,"Gene_35525"
"13",113759937,225256924,"Gene_35526"
"18",277837609,277837609,"Gene_35527"
"15",22607403,22607403,"Gene_35528"
"17",249274196,288423227,"Gene_35529"
"4",78138834,210697489,"Gene_35530"
"5",123358295,123358295,"Gene_35531"
"11",122082972,122082972,"Gene_35532"
"Y",19963293,233130419,"Gene_35533"
"3",124047718,255638246,"Gene_35534"
"2",43719961,134152270,"Gene_35535"
"2",6517613,264964673,"Gene_35536"
"5",93145775,93145775,"Gene_35537"
"4",100711015,100711015,"Gene_35538"
"10",2858699,68277146,"Gene_35539"
"14",74783967,134343414,"Gene_35540"
"14",148621534,148621534,"Gene_35541"
"4",234547740,234547740,"Gene_35542"
"8",73240303,144975672,"Gene_35543"
"4",93389642,247778471,"Gene_35544"
"17",140605309,195714778,"Gene_35545"
"X",40441853,40441853,"Gene_35546"
"6",53593319,140235332,"Gene_35547"
"16",101316472,101316472,"Gene_35548"
"17",7310213,153864006,"Gene_35549"
"15",21975531,272647660,"Gene_35550"
"18",225773269,225773269,"Gene_35551"
"Y",237317936,237317936,"Gene_35552"
"X",249478948,249478948,"Gene_35553"
"Y",7144608,32103210,"Gene_35554"
"3",254814819,254814819,"Gene_35555"
"Y",97642844,102139445,"Gene_35556"
"X",190933220,190933220,"Gene_35557"
"16",235893248,239555487,"Gene_35558"
"16",78797288,258574594,"Gene_35559"
"7",202380270,202380270,"Gene_35560"
"5",186927003,186927003,"Gene_35561"
"14",172175019,172175019,"Gene_35562"
"8",134248588,134248588,"Gene_35563"
"3",274111234,274111234,"Gene_35564"
"16",93483437,93483437,"Gene_35565"
"3",106277613,214030420,"Gene_35566"
"3",274553590,274553590,"Gene_35567"
"4",131255242,131255242,"Gene_35568"
"8",165069049,165069049,"Gene_35569"
"11",5429815,250939636,"Gene_35570"
"4",26499636,59558930,"Gene_35571"
"15",201912413,283063562,"Gene_35572"
"9",142066401,161247223,"Gene_35573"
"12",280541787,280541787,"Gene_35574"
"11",69402891,69402891,"Gene_35575"
"10",261752207,261752207,"Gene_35576"
"X",115003348,251223151,"Gene_35577"
"Y",130090526,199812725,"Gene_35578"
"5",292616553,292616553,"Gene_35579"
"1",89535901,125091645,"Gene_35580"
"16",100928945,154479699,"Gene_35581"
"18",139606502,139606502,"Gene_35582"
"4",260911074,260911074,"Gene_35583"
"1",209357991,209357991,"Gene_35584"
"3",47221615,267651383,"Gene_35585"
"4",123483304,212266343,"Gene_35586"
"8",68607745,275216090,"Gene_35587"
"Y",43917545,256724479,"Gene_35588"
"6",220751669,220751669,"Gene_35589"
"8",216385159,216385159,"Gene_35590"
"6",255337197,255337197,"Gene_35591"
"12",255108068,290922445,"Gene_35592"
"3",55498162,105036999,"Gene_35593"
"15",185359975,221756716,"Gene_35594"
"18",205877484,225342833,"Gene_35595"
"7",201391102,201391102,"Gene_35596"
"13",232395185,232395185,"Gene_35597"
"1",200226843,240478404,"Gene_35598"
"1",289248559,289248559,"Gene_35599"
"7",181753782,289334130,"Gene_35600"
"4",93564036,93564036,"Gene_35601"
"X",19862150,37620751,"Gene_35602"
"1",290802244,290802244,"Gene_35603"
"9",285671365,285671365,"Gene_35604"
"16",85616269,225903182,"Gene_35605"
"6",84956784,233110571,"Gene_35606"
"12",70331846,275185311,"Gene_35607"
"14",182675975,219394499,"Gene_35608"
"1",26510244,189199611,"Gene_35609"
"18",209445965,275251344,"Gene_35610"
"16",68259317,286621024,"Gene_35611"
"14",168371963,197266091,"Gene_35612"
"14",131613858,162041175,"Gene_35613"
"11",57984715,57984715,"Gene_35614"
"15",173151958,222053407,"Gene_35615"
"1",294924888,294924888,"Gene_35616"
"13",130050641,139614285,"Gene_35617"
"6",112315202,219545184,"Gene_35618"
"14",89122948,89122948,"Gene_35619"
"6",224063627,224063627,"Gene_35620"
"7",109402175,263191499,"Gene_35621"
"5",61127246,61127246,"Gene_35622"
"7",176285486,295499001,"Gene_35623"
"1",32289698,34618397,"Gene_35624"
"11",5605828,281600684,"Gene_35625"
"9",10538545,10538545,"Gene_35626"
"6",80871577,204090803,"Gene_35627"
"11",222699217,222699217,"Gene_35628"
"2",66096028,200287126,"Gene_35629"
"3",122279664,124583293,"Gene_35630"
"17",106926230,123793555,"Gene_35631"
"7",159116363,270891112,"Gene_35632"
"13",196315539,196315539,"Gene_35633"
"10",97512456,152770388,"Gene_35634"
"13",230071667,230071667,"Gene_35635"
"2",186294338,186294338,"Gene_35636"
"8",96619084,193362513,"Gene_35637"
"18",68932196,123429038,"Gene_35638"
"8",130640146,130640146,"Gene_35639"
"1",201563868,201563868,"Gene_35640"
"1",107161023,136719585,"Gene_35641"
"9",167326385,167326385,"Gene_35642"
"16",224787433,290492286,"Gene_35643"
"10",201123077,201123077,"Gene_35644"
"3",22257875,110514934,"Gene_35645"
"10",81712204,204083398,"Gene_35646"
"X",206921847,217383596,"Gene_35647"
"6",244985729,290282990,"Gene_35648"
"5",207171782,207171782,"Gene_35649"
"Y",68525760,220754865,"Gene_35650"
"18",69723635,184807111,"Gene_35651"
"5",133091819,294679861,"Gene_35652"
"9",38481772,154239419,"Gene_35653"
"15",261314934,261314934,"Gene_35654"
"18",83652959,218609672,"Gene_35655"
"X",261117576,261117576,"Gene_35656"
"10",202687113,202687113,"Gene_35657"
"1",276522267,276522267,"Gene_35658"
"13",136582059,136582059,"Gene_35659"
"8",249271624,249271624,"Gene_35660"
"12",41088778,179084752,"Gene_35661"
"12",635523,39562267,"Gene_35662"
"12",160721973,160721973,"Gene_35663"
"18",239142541,250527802,"Gene_35664"
"13",15885524,159580183,"Gene_35665"
"17",70399415,249429148,"Gene_35666"
"Y",238547189,238547189,"Gene_35667"
"13",233496846,237008071,"Gene_35668"
"16",29564739,31232868,"Gene_35669"
"4",225213813,225213813,"Gene_35670"
"1",134403646,134403646,"Gene_35671"
"9",215576638,215576638,"Gene_35672"
"10",142202214,207510440,"Gene_35673"
"8",245250342,245250342,"Gene_35674"
"11",108627642,108627642,"Gene_35675"
"8",192183309,222002090,"Gene_35676"
"7",128890598,177388377,"Gene_35677"
"12",84675113,258617403,"Gene_35678"
"18",131018776,254639756,"Gene_35679"
"17",174470423,292970178,"Gene_35680"
"16",280969040,280969040,"Gene_35681"
"Y",116775162,131524825,"Gene_35682"
"13",118006682,123869780,"Gene_35683"
"2",108836109,128708478,"Gene_35684"
"15",192580867,223277471,"Gene_35685"
"10",89801257,149116832,"Gene_35686"
"Y",12661942,44972113,"Gene_35687"
"Y",218456025,218456025,"Gene_35688"
"2",37750113,46454829,"Gene_35689"
"6",287474053,287474053,"Gene_35690"
"14",192134407,192134407,"Gene_35691"
"1",240573729,266279866,"Gene_35692"
"13",5941427,179851963,"Gene_35693"
"1",163340992,263112292,"Gene_35694"
"11",258619404,258619404,"Gene_35695"
"12",219682293,219682293,"Gene_35696"
"4",260372853,260372853,"Gene_35697"
"1",4855928,127663984,"Gene_35698"
"15",240043181,240043181,"Gene_35699"
"Y",177056980,177056980,"Gene_35700"
"14",155363584,191154148,"Gene_35701"
"6",25360223,149003225,"Gene_35702"
"11",48824277,67370712,"Gene_35703"
"1",176597790,176597790,"Gene_35704"
"1",11639937,14298312,"Gene_35705"
"15",129629914,218222773,"Gene_35706"
"16",198454388,198454388,"Gene_35707"
"14",157138990,183326213,"Gene_35708"
"18",128942610,128942610,"Gene_35709"
"17",25808610,188398583,"Gene_35710"
"5",182446463,225419053,"Gene_35711"
"1",117185202,236550024,"Gene_35712"
"3",178763007,179197024,"Gene_35713"
"3",24948169,94031842,"Gene_35714"
"13",192318330,192318330,"Gene_35715"
"6",144033522,144033522,"Gene_35716"
"9",231230121,273205571,"Gene_35717"
"9",77922487,154639105,"Gene_35718"
"17",48019294,180847196,"Gene_35719"
"16",154763477,255641866,"Gene_35720"
"7",215691483,215691483,"Gene_35721"
"11",160463532,160463532,"Gene_35722"
"13",5291670,131053273,"Gene_35723"
"15",243727007,243727007,"Gene_35724"
"6",272631298,272631298,"Gene_35725"
"17",65029524,279956762,"Gene_35726"
"12",60283831,69650965,"Gene_35727"
"Y",111556790,207427562,"Gene_35728"
"16",263837899,263837899,"Gene_35729"
"13",282584029,282584029,"Gene_35730"
"5",174669618,174669618,"Gene_35731"
"8",172889841,220242370,"Gene_35732"
"4",184250250,184250250,"Gene_35733"
"11",135078288,135078288,"Gene_35734"
"Y",144576819,172106378,"Gene_35735"
"X",144119103,144119103,"Gene_35736"
"10",272638239,272638239,"Gene_35737"
"14",91107816,201592294,"Gene_35738"
"12",254971957,254971957,"Gene_35739"
"8",192590230,195824324,"Gene_35740"
"18",90209519,204552072,"Gene_35741"
"5",287881351,287881351,"Gene_35742"
"13",251369085,251369085,"Gene_35743"
"14",66670275,274297832,"Gene_35744"
"16",275016949,275016949,"Gene_35745"
"18",159333808,200956990,"Gene_35746"
"10",210993545,214246358,"Gene_35747"
"8",119584133,274419963,"Gene_35748"
"Y",284039492,284039492,"Gene_35749"
"10",239237639,239237639,"Gene_35750"
"15",201130252,201130252,"Gene_35751"
"11",12541512,12541512,"Gene_35752"
"Y",278155503,278155503,"Gene_35753"
"18",211165605,247471506,"Gene_35754"
"16",255315437,255315437,"Gene_35755"
"5",154382196,234376149,"Gene_35756"
"11",264507896,264507896,"Gene_35757"
"6",8959140,163097920,"Gene_35758"
"4",278182389,278182389,"Gene_35759"
"1",252983256,252983256,"Gene_35760"
"4",60276730,204043463,"Gene_35761"
"15",18476484,273966487,"Gene_35762"
"11",278936380,278936380,"Gene_35763"
"5",147842394,147842394,"Gene_35764"
"7",56534615,56534615,"Gene_35765"
"10",240584197,240584197,"Gene_35766"
"10",242376575,242376575,"Gene_35767"
"11",213763491,213763491,"Gene_35768"
"2",228084150,228084150,"Gene_35769"
"3",136454671,136454671,"Gene_35770"
"18",123417492,123417492,"Gene_35771"
"1",257482699,257482699,"Gene_35772"
"9",209132108,209132108,"Gene_35773"
"9",159293700,159293700,"Gene_35774"
"3",124542732,223476109,"Gene_35775"
"Y",191057794,191057794,"Gene_35776"
"4",18282971,132754340,"Gene_35777"
"16",137503012,137503012,"Gene_35778"
"10",114164617,163138851,"Gene_35779"
"14",90206407,253861310,"Gene_35780"
"10",213284900,229380034,"Gene_35781"
"10",48172508,48172508,"Gene_35782"
"6",285950392,285950392,"Gene_35783"
"4",224174036,224174036,"Gene_35784"
"12",91503715,91503715,"Gene_35785"
"5",139058420,139058420,"Gene_35786"
"11",66112102,149859269,"Gene_35787"
"16",167253698,191787362,"Gene_35788"
"14",82347055,122984338,"Gene_35789"
"1",16419125,61434830,"Gene_35790"
"X",215700249,215700249,"Gene_35791"
"2",172137496,243688539,"Gene_35792"
"Y",69039644,244924447,"Gene_35793"
"1",208308696,208308696,"Gene_35794"
"6",17126533,195731022,"Gene_35795"
"7",288791095,288791095,"Gene_35796"
"17",240747883,240747883,"Gene_35797"
"12",226222862,259375198,"Gene_35798"
"14",76137002,168140877,"Gene_35799"
"X",176677423,284787028,"Gene_35800"
"17",48971726,62111794,"Gene_35801"
"17",148096037,227841823,"Gene_35802"
"Y",8288134,156233140,"Gene_35803"
"7",173681484,279921615,"Gene_35804"
"1",80220640,239663622,"Gene_35805"
"8",284086033,284086033,"Gene_35806"
"18",101623734,128204044,"Gene_35807"
"1",271697016,271697016,"Gene_35808"
"2",279988792,279988792,"Gene_35809"
"12",100805494,100805494,"Gene_35810"
"14",150409421,236485218,"Gene_35811"
"16",200273494,200273494,"Gene_35812"
"Y",109603681,109603681,"Gene_35813"
"15",133889070,260447222,"Gene_35814"
"5",169115466,169115466,"Gene_35815"
"4",90820914,122316555,"Gene_35816"
"1",84310519,218595107,"Gene_35817"
"11",82761007,168264836,"Gene_35818"
"14",148977989,211725856,"Gene_35819"
"6",136720307,136720307,"Gene_35820"
"14",165754580,165754580,"Gene_35821"
"5",36251348,186897654,"Gene_35822"
"16",169863270,237415719,"Gene_35823"
"11",260288638,260288638,"Gene_35824"
"6",168176028,168176028,"Gene_35825"
"X",114575550,254446371,"Gene_35826"
"13",97325476,97325476,"Gene_35827"
"7",62719031,91130685,"Gene_35828"
"4",60652331,151196474,"Gene_35829"
"6",72071230,72071230,"Gene_35830"
"5",287767726,287767726,"Gene_35831"
"1",8283811,200256151,"Gene_35832"
"15",195454431,195454431,"Gene_35833"
"18",15127251,261731530,"Gene_35834"
"3",167980444,167980444,"Gene_35835"
"5",105629199,105629199,"Gene_35836"
"11",51013617,228994258,"Gene_35837"
"11",83141447,240900463,"Gene_35838"
"16",45277313,180221085,"Gene_35839"
"X",101505751,174652632,"Gene_35840"
"9",135197388,135197388,"Gene_35841"
"6",198089568,274901063,"Gene_35842"
"9",29984966,181325095,"Gene_35843"
"7",13154933,255582743,"Gene_35844"
"5",104116006,157895196,"Gene_35845"
"7",230537430,230537430,"Gene_35846"
"7",46878419,46878419,"Gene_35847"
"Y",48342518,48342518,"Gene_35848"
"11",37876440,81067907,"Gene_35849"
"18",267412986,267412986,"Gene_35850"
"18",267658546,267658546,"Gene_35851"
"Y",162428366,162428366,"Gene_35852"
"6",156233186,176800627,"Gene_35853"
"2",249914807,249914807,"Gene_35854"
"6",48507733,284324384,"Gene_35855"
"1",134369962,134369962,"Gene_35856"
"17",235398112,235398112,"Gene_35857"
"12",120465717,133102703,"Gene_35858"
"12",238932657,238932657,"Gene_35859"
"1",261981032,261981032,"Gene_35860"
"15",100322211,201005931,"Gene_35861"
"13",273376502,285276052,"Gene_35862"
"17",140930716,140930716,"Gene_35863"
"13",286668105,286668105,"Gene_35864"
"18",160835395,286434654,"Gene_35865"
"8",40181770,289433116,"Gene_35866"
"1",70040147,70040147,"Gene_35867"
"X",14823649,59928458,"Gene_35868"
"18",199301098,199301098,"Gene_35869"
"3",130865164,130865164,"Gene_35870"
"7",195189221,195189221,"Gene_35871"
"3",192809574,249977584,"Gene_35872"
"14",292988785,292988785,"Gene_35873"
"15",284468591,284468591,"Gene_35874"
"7",271521642,271521642,"Gene_35875"
"13",269093419,269093419,"Gene_35876"
"8",258405690,258405690,"Gene_35877"
"12",79286263,79286263,"Gene_35878"
"10",227949026,227949026,"Gene_35879"
"16",229402427,229402427,"Gene_35880"
"11",185201068,268047234,"Gene_35881"
"17",100699851,263299985,"Gene_35882"
"13",221203705,221203705,"Gene_35883"
"13",235066455,235066455,"Gene_35884"
"6",5995597,5995597,"Gene_35885"
"5",29442513,281467872,"Gene_35886"
"16",292777801,292777801,"Gene_35887"
"13",180156950,180156950,"Gene_35888"
"4",198859650,198859650,"Gene_35889"
"12",261745302,261745302,"Gene_35890"
"18",231992400,231992400,"Gene_35891"
"16",104452350,104452350,"Gene_35892"
"5",58886046,58886046,"Gene_35893"
"16",156048060,156048060,"Gene_35894"
"17",235959423,235959423,"Gene_35895"
"6",24652816,96707428,"Gene_35896"
"X",110676044,271409867,"Gene_35897"
"8",194531415,202418008,"Gene_35898"
"15",172812686,172812686,"Gene_35899"
"5",209786544,209786544,"Gene_35900"
"11",140256619,140256619,"Gene_35901"
"12",252217610,272704896,"Gene_35902"
"Y",259602381,259602381,"Gene_35903"
"6",104053789,125588000,"Gene_35904"
"3",285564923,285564923,"Gene_35905"
"X",132149594,132149594,"Gene_35906"
"14",84087165,168827173,"Gene_35907"
"14",216828945,216828945,"Gene_35908"
"7",268251771,268251771,"Gene_35909"
"4",105391454,105391454,"Gene_35910"
"16",264955307,274408739,"Gene_35911"
"3",24504646,233962799,"Gene_35912"
"8",264505388,264505388,"Gene_35913"
"13",274120569,274120569,"Gene_35914"
"4",113170997,256175322,"Gene_35915"
"11",114800033,225244887,"Gene_35916"
"3",207423778,207423778,"Gene_35917"
"X",148057377,148057377,"Gene_35918"
"15",69612861,164063583,"Gene_35919"
"14",204760288,245037175,"Gene_35920"
"8",33962363,179010870,"Gene_35921"
"2",94757557,94757557,"Gene_35922"
"11",194425901,251933591,"Gene_35923"
"15",216797896,216797896,"Gene_35924"
"16",33796017,145152425,"Gene_35925"
"3",91870400,91870400,"Gene_35926"
"10",123099181,123099181,"Gene_35927"
"1",136834901,136834901,"Gene_35928"
"6",115568222,115568222,"Gene_35929"
"X",267072795,267072795,"Gene_35930"
"18",74812231,208404826,"Gene_35931"
"14",1354972,165170844,"Gene_35932"
"11",88243936,99975255,"Gene_35933"
"6",98352982,98352982,"Gene_35934"
"16",115982649,115982649,"Gene_35935"
"4",96860884,121654819,"Gene_35936"
"X",229600084,229600084,"Gene_35937"
"2",260952630,260952630,"Gene_35938"
"4",261314485,261314485,"Gene_35939"
"2",177198163,177198163,"Gene_35940"
"1",106364371,106364371,"Gene_35941"
"13",169235148,245574658,"Gene_35942"
"10",90720040,230472014,"Gene_35943"
"9",213435998,213435998,"Gene_35944"
"2",129753182,129753182,"Gene_35945"
"6",23896152,33359182,"Gene_35946"
"14",223006139,223006139,"Gene_35947"
"11",255845536,255845536,"Gene_35948"
"10",132719826,132719826,"Gene_35949"
"18",214672259,214672259,"Gene_35950"
"10",5684337,210900574,"Gene_35951"
"12",134470428,288253656,"Gene_35952"
"12",186930340,267583424,"Gene_35953"
"6",124446244,124446244,"Gene_35954"
"4",204597322,204597322,"Gene_35955"
"18",59064062,211938455,"Gene_35956"
"9",253116443,272091707,"Gene_35957"
"8",193549749,266323667,"Gene_35958"
"3",179450257,179450257,"Gene_35959"
"11",196766949,196766949,"Gene_35960"
"1",144289482,155734761,"Gene_35961"
"7",238738035,238738035,"Gene_35962"
"4",169411335,286282696,"Gene_35963"
"12",114962339,259135224,"Gene_35964"
"4",282954223,282954223,"Gene_35965"
"1",32774038,139754232,"Gene_35966"
"17",146171730,146171730,"Gene_35967"
"7",279733165,279733165,"Gene_35968"
"4",244804547,244804547,"Gene_35969"
"4",269338575,269338575,"Gene_35970"
"12",139257691,223552170,"Gene_35971"
"7",161473654,161473654,"Gene_35972"
"3",172940148,172940148,"Gene_35973"
"10",241974651,243341067,"Gene_35974"
"4",162533519,162533519,"Gene_35975"
"11",248005247,248005247,"Gene_35976"
"2",121028449,260826127,"Gene_35977"
"3",35161173,35161173,"Gene_35978"
"3",178670991,178670991,"Gene_35979"
"5",181875104,181875104,"Gene_35980"
"6",28242089,72230910,"Gene_35981"
"6",155328961,230363177,"Gene_35982"
"15",264589091,294972738,"Gene_35983"
"10",3287465,31940571,"Gene_35984"
"7",29460268,29460268,"Gene_35985"
"12",22146168,276622726,"Gene_35986"
"13",36433878,36433878,"Gene_35987"
"11",93327700,242711792,"Gene_35988"
"5",279705727,279705727,"Gene_35989"
"13",243410202,256866037,"Gene_35990"
"13",148881344,148881344,"Gene_35991"
"2",82297977,264569772,"Gene_35992"
"1",148407794,289955451,"Gene_35993"
"16",135463082,286387336,"Gene_35994"
"12",115203797,115203797,"Gene_35995"
"X",251184171,251184171,"Gene_35996"
"2",99937469,99937469,"Gene_35997"
"11",64678380,69617436,"Gene_35998"
"9",179878093,179878093,"Gene_35999"
"10",81019427,81019427,"Gene_36000"
"7",286887412,286887412,"Gene_36001"
"9",71801187,287630311,"Gene_36002"
"2",127239284,221127022,"Gene_36003"
"6",249703949,249703949,"Gene_36004"
"X",239407318,253591852,"Gene_36005"
"5",41961769,78068611,"Gene_36006"
"10",226619337,226619337,"Gene_36007"
"1",73464472,87714924,"Gene_36008"
"2",228054736,228054736,"Gene_36009"
"6",254131241,254131241,"Gene_36010"
"3",149297087,149297087,"Gene_36011"
"1",127903958,290087805,"Gene_36012"
"1",135940104,285956771,"Gene_36013"
"9",106205611,194109226,"Gene_36014"
"13",262501290,262501290,"Gene_36015"
"9",109503247,173128428,"Gene_36016"
"16",158475942,231383663,"Gene_36017"
"18",221250627,234735511,"Gene_36018"
"9",173388019,177762068,"Gene_36019"
"3",264188088,264188088,"Gene_36020"
"14",60198581,88367650,"Gene_36021"
"14",118778633,233580212,"Gene_36022"
"17",10194425,58389486,"Gene_36023"
"X",11556342,71660656,"Gene_36024"
"1",127827900,193058120,"Gene_36025"
"18",60381614,161526947,"Gene_36026"
"3",48826250,99905465,"Gene_36027"
"3",294723251,294723251,"Gene_36028"
"9",114131336,227850497,"Gene_36029"
"2",19771713,168005120,"Gene_36030"
"17",135217580,273387498,"Gene_36031"
"15",177586402,266290484,"Gene_36032"
"2",20426424,191569298,"Gene_36033"
"9",76730236,290346480,"Gene_36034"
"16",194523370,241007675,"Gene_36035"
"9",289982623,289982623,"Gene_36036"
"11",70263861,70263861,"Gene_36037"
"5",190287106,190287106,"Gene_36038"
"2",85589717,152079135,"Gene_36039"
"2",255898368,255898368,"Gene_36040"
"10",139830238,152155201,"Gene_36041"
"11",268313396,268313396,"Gene_36042"
"5",128260338,161075190,"Gene_36043"
"13",146025278,288059798,"Gene_36044"
"11",237842186,237842186,"Gene_36045"
"Y",140205380,231393121,"Gene_36046"
"6",251152820,251152820,"Gene_36047"
"Y",41554011,67442326,"Gene_36048"
"X",221490617,221490617,"Gene_36049"
"16",43287648,230464747,"Gene_36050"
"18",261048375,261048375,"Gene_36051"
"15",115709284,147826547,"Gene_36052"
"7",71479580,274523577,"Gene_36053"
"17",242094358,242094358,"Gene_36054"
"9",87619597,188154350,"Gene_36055"
"10",238161982,238161982,"Gene_36056"
"10",15044564,122181923,"Gene_36057"
"3",91026241,91026241,"Gene_36058"
"9",147329878,147329878,"Gene_36059"
"17",233302884,233302884,"Gene_36060"
"1",198317246,199389352,"Gene_36061"
"18",190136408,190136408,"Gene_36062"
"5",12396728,257033474,"Gene_36063"
"9",156561612,200765444,"Gene_36064"
"18",243784763,243784763,"Gene_36065"
"11",124496988,195898686,"Gene_36066"
"6",250228192,250228192,"Gene_36067"
"7",102178524,102178524,"Gene_36068"
"7",42833417,147058781,"Gene_36069"
"18",219944287,259513874,"Gene_36070"
